GeneID,Chromosome,Peak_Start,Peak_End,Strand
Igf2bp3,chr6,49165620,49174296,+
Hmx2,chr7,138699397,138700353,+
Fgfr2,chr7,138699397,138700353,+
Sp9,chr2,73107725,73117433,+
Timm8a2,chr14,122451580,122455359,+
AC131596.1,chr10,95833137,95835253,+
Fhit,chr14,11285636,11285716,+
Tomm20,chr8,129356505,129356759,+
Gm10837,chr14,122884558,122891656,+
Irak2,chr6,113618799,113618856,+
Gm4895,chr10,21872187,21872621,+
Gm11772,chr11,120092160,120098100,+
Bahcc1,chr11,120092160,120098100,+
2900052L18Rik,chr11,120092160,120098100,+
Rasgrf1,chr9,89777010,89777654,+
Plxnc1,chr10,94290239,94291657,+
Pou4f1,chr14,104856104,104866328,+
Tnfaip3,chr10,18732888,18736106,+
Cdyl2,chr8,119160032,119160208,+
Shox2,chr3,66774927,66789887,+
Rsrc1,chr3,66774927,66789887,+
A230052G05Rik,chr8,73389388,73390030,+
Agbl4,chr4,111072533,111072666,+
Lhx9,chr1,140732615,140744099,+
Sall3,chr18,81180977,81181921,+
Lbx1,chr19,45305939,45308562,+
Apobec3,chr15,79730437,79732620,+
Gm12148,chr11,43197985,43199277,+
Gm9989,chr3,81729848,81730004,+
Satb2,chr1,57029255,57036832,+
9130024F11Rik,chr1,57029255,57036832,+
Plekhm3,chr1,64972337,64972498,+
Wee1,chr7,117309563,117310238,+
Nedd4,chr9,72508061,72508191,+
Osr2,chr15,35222612,35233878,+
Dennd4a,chr9,64658633,64658889,+
Rad51l1,chr12,80746972,80748159,+
Dusp2,chr2,127158670,127167427,+
Astl,chr2,127158670,127167427,+
7SK,chr16,84621397,84622321,+
Pik3r5,chr11,68311647,68313072,+
Ier5,chr1,156944931,156945442,+
Cryaa,chr17,31890430,31890565,+
Fnbp1,chr2,30891276,30892989,+
Txndc11,chr16,11077611,11078170,+
Cuedc1,chr11,87921002,87921148,+
Cyba,chr8,124955124,124957884,+
Mvd,chr8,124955124,124957884,+
Gm20388,chr8,124955124,124957884,+
Ksr1,chr11,78916477,78918352,+
Ebf3,chr7,144502462,144505484,+
Tmem55b,chr14,51550120,51550862,+
Nfkb1,chr3,135352115,135354924,+
Shisa3,chr5,67996807,67999608,+
Mex3a,chr3,88325825,88325970,+
Rere,chr4,149939885,149940491,+
Cd79b,chr11,106169373,106169871,+
Hoxa13,chr6,52201143,52209631,+
Chd2,chr7,80681219,80685452,+
1700086P04Rik,chr4,128710019,128710583,+
Gm17699,chr1,130601783,130601979,+
Otx1,chr11,21902543,21903908,+
Ptpn11,chr5,121556884,121557417,+
Dmwd,chr7,19663259,19663381,+
Nrg4,chr9,55173818,55175521,+
AI118078,chr9,55173818,55175521,+
Dleu2,chr14,62306798,62307481,+
Swap70,chr7,117429840,117430025,+
Sim2,chr16,94095897,94096518,+
Dusp10,chr1,185803804,185803848,+
Rbm20,chr19,53943837,53946619,+
Cbfa2t3,chr8,125225398,125226692,+
Tnfaip3,chr10,18729022,18729474,+
Gm20388,chr8,125225398,125226692,+
Zfpm1,chr8,124809741,124809989,+
Gm20388,chr8,124809741,124809989,+
Iqsec1,chr6,90714918,90715410,+
Nfatc1,chr18,80807975,80808788,+
9130401M01Rik,chr15,57865184,57866194,+
RP23-5H10.4,chr9,55386822,55394674,+
Isl2,chr9,55386822,55394674,+
Gm17226,chr9,55386822,55394674,+
Psap,chr10,59747122,59747331,+
Hoxa7,chr6,52169849,52171804,+
Tbr1,chr2,61646224,61651278,+
Wrap53,chr11,69392472,69395280,+
Trp53,chr11,69392472,69395280,+
Otx1,chr11,21892788,21902143,+
Kdm2b,chr5,123399133,123399464,+
Icosl,chr10,77555479,77555690,+
Gm13564,chr2,62297349,62299248,+
Gm13561,chr2,62297349,62299248,+
Nkx2-3,chr19,43681185,43685002,+
Gm20467,chr19,43681185,43685002,+
Gm17591,chr12,81170230,81170402,+
Gm11755,chr11,118995166,118995291,+
Zfp36,chr7,29159671,29169469,+
Plekhg2,chr7,29159671,29169469,+
Cxcr4,chr1,130485994,130489908,+
Pdhx,chr2,102838462,102839959,+
Ildr1,chr16,36709714,36709768,+
Mir146,chr11,43171777,43172798,+
Dmrt3,chr19,25682935,25683959,+
C330018D20Rik,chr18,57140386,57141161,+
Camk2d,chr3,126454484,126454595,+
Gpbp1,chr13,112280510,112280677,+
Mll5,chr5,22891290,22893547,+
Gm16912,chr17,29629302,29631447,+
Pim1,chr17,29629302,29631447,+
Irgc1,chr7,25227181,25229352,+
Esr1,chr10,5743395,5746168,+
Ptp4a2,chr4,129486633,129489746,+
Fgd2,chr17,29530124,29533168,+
Ryr1,chr7,29791670,29793555,+
Atp2a3,chr11,72767103,72768134,+
Pik3ip1,chr11,3235765,3236375,+
Gm17504,chr7,73330082,73330541,+
Il4i1,chr7,52090027,52093132,+
Aldh1a2,chr9,71064521,71065488,+
Tnfrsf13c,chr15,82049119,82050052,+
Gm15754,chr5,118927807,118928117,+
9130410C08Rik,chr4,114573443,114575037,+
Gadd45b,chr10,80391193,80395114,+
Map4k1,chr7,29767395,29767956,+
Eif3k,chr7,29767395,29767956,+
Gm16956,chr12,100848585,100849261,+
Mir148a,chr6,51119079,51135680,+
Fgfr2,chr7,139557370,139557839,+
Rpl35a-ps2,chr1,183167557,183167803,+
9030425E11Rik,chr9,40551899,40552162,+
Rps25-ps1,chr6,145224379,145225685,+
Nfkb2,chr19,46379258,46380044,+
Fnbp1,chr2,30916128,30919216,+
Pax5,chr4,44684057,44684178,+
Gm12462,chr4,44684057,44684178,+
AC131596.1,chr10,95837055,95837423,+
Gm4832,chr17,88510535,88513881,+
Hnf1b,chr11,83667199,83667915,+
Nfkbiz,chr16,55838592,55839044,+
Gm17591,chr12,81102740,81102971,+
Cbfa2t3,chr8,125224637,125224821,+
Gm20388,chr8,125224637,125224821,+
Lmna,chr3,88313236,88315157,+
Xpnpep3,chr15,81229895,81230736,+
St13,chr15,81229895,81230736,+
Slc12a8,chr16,33606798,33607503,+
AC131596.1,chr10,95727853,95730114,+
Skil,chr3,30992739,30992818,+
Ccr7,chr11,99032213,99033030,+
Spty2d1,chr7,54278005,54278184,+
Chst3,chr10,59628934,59632836,+
A630091E08Rik,chr7,105683029,105683233,+
Fcrl5,chr3,87291947,87292124,+
Gm4968,chr6,127189037,127191187,+
Cd37,chr7,52492953,52495719,+
Rassf2,chr2,131846741,131846884,+
Fbxo48,chr11,16856538,16857239,+
Amz2,chr11,109286567,109287489,+
2010109I03Rik,chr15,74736270,74737294,+
Ube2e3,chr2,78708488,78708984,+
Rftn1,chr17,50234020,50234145,+
Rgs13,chr1,146020334,146021321,+
4930523C07Rik,chr1,161974569,161975045,+
Sim1,chr10,50615071,50617325,+
Pigv,chr4,133227032,133230837,+
Vmp1,chr11,86437870,86438074,+
Il2ra,chr2,11574997,11575622,+
Rel,chr11,23669181,23672214,+
Hecw2,chr1,53907976,53908714,+
Cdc42bpa,chr1,181890262,181892596,+
Nkx2-4,chr2,146907184,146916781,+
C030013C21Rik,chr11,80320414,80323567,+
Myo1d,chr11,80320414,80323567,+
Gm12054,chr11,22592660,22593529,+
Swap70,chr7,117385188,117387181,+
Pnrc2,chr4,135432552,135432809,+
Elk3,chr10,92771881,92773966,+
Gm14488,chr2,30567607,30567773,+
Sit1,chr4,43485410,43488029,+
Nme1,chr11,93829351,93830035,+
Gm20390,chr11,93829351,93830035,+
Gm16510,chr2,70466969,70468432,+
Dlx2,chr2,71380639,71385797,+
7SK,chr18,32471410,32471528,+
Prkg1,chr19,31298451,31298906,+
Gpr65,chr12,99521315,99521865,+
