GeneID,Chromosome,Peak_Start,Peak_End,Strand
Birc3,chr9,7872343,7873567,+
Ighm,chr12,114663791,114668091,+
Ighj4,chr12,114663791,114668091,+
Ighj3,chr12,114663791,114668091,+
Ighj2,chr12,114663791,114668091,+
Ighj1,chr12,114663791,114668091,+
AC073553.3,chr12,114663791,114668091,+
AC073553.2,chr12,114663791,114668091,+
AC073553.1,chr12,114663791,114668091,+
Cnpy3,chr17,46888450,46888579,+
Gm16736,chr17,46888450,46888579,+
Lmna,chr3,88313911,88314197,+
Tnfaip3,chr10,18735170,18735366,+
Mll5,chr5,22924087,22924451,+
Nfkb2,chr19,46378954,46379706,+
Nfkbid,chr7,31207231,31207444,+
Hcst,chr7,31207231,31207444,+
AC121600.1,chr17,52301778,52302793,+
Psmg2,chr18,67801010,67801126,+
Cep76,chr18,67801010,67801126,+
Tnfrsf13c,chr15,82049371,82049523,+
Scd1,chr19,44451057,44451305,+
Isy1,chr6,87788734,87789056,+
Gad1,chr2,70397269,70397852,+
1500002O10Rik,chr2,70397269,70397852,+
Ttpal,chr2,163427862,163428679,+
Gm12974,chr4,133369648,133370099,+
Zfp36l1,chr12,81216397,81216740,+
Nfkbia,chr12,56592720,56593708,+
Lrr1,chr12,70269369,70269867,+
Wdfy4,chr14,33998676,33998799,+
Gm4832,chr17,88511088,88513619,+
Nedd4,chr9,72507658,72508150,+
SNORD102,chr5,147644358,147644756,+
SNORA27,chr5,147644358,147644756,+
Rpl21,chr5,147644358,147644756,+
Junb,chr8,87499813,87501298,+
Rgs13,chr1,146020479,146021166,+
Relb,chr7,20214333,20215109,+
Grasp,chr15,101076695,101077039,+
5830416P10Rik,chr19,53554092,53554348,+
Plekha2,chr8,26178462,26178999,+
Hecw2,chr1,53907877,53908490,+
Kcnj1,chr9,32202187,32203316,+
Gm20513,chr17,34432500,34433619,+
Mrpl11,chr19,4961995,4962114,+
Bzrap1,chr11,87571993,87574032,+
C330006D17Rik,chr9,7836925,7837450,+
Birc2,chr9,7836925,7837450,+
Gm16767,chr13,52178645,52179982,+
7SK,chr15,10004599,10005507,+
1600012F09Rik,chr13,18067562,18067971,+
Hook2,chr8,87509830,87510371,+
Mll5,chr5,22892288,22892980,+
Amz2,chr11,109286758,109286908,+
Rasgef1b,chr5,99681874,99682386,+
Bmp2k,chr5,97409109,97409352,+
AC131596.1,chr10,95836848,95837584,+
9930022D16Rik,chr11,109281462,109281611,+
Celf4,chr18,25826626,25826934,+
Asap1,chr15,63906886,63907514,+
Gimap1,chr6,48682727,48683299,+
H2-DMb2,chr17,34281658,34282269,+
Acoxl,chr2,127834436,127834854,+
5830416P10Rik,chr19,53499154,53499454,+
1700086P04Rik,chr4,128709782,128710804,+
RP23-85E24.1,chr17,71198374,71200879,+
Tgif1,chr17,71198374,71200879,+
Snord14d,chr9,40609063,40609262,+
Snord14c,chr9,40609063,40609262,+
Hspa8,chr9,40609063,40609262,+
Dusp2,chr2,127160926,127161281,+
Nfatc1,chr18,80807621,80809400,+
5830416P10Rik,chr19,53539105,53539767,+
Ppp1r16b,chr2,158544920,158545213,+
Rel,chr11,23670201,23672033,+
Cxcr4,chr1,130487369,130488475,+
Gm12148,chr11,43198647,43199024,+
Fchsd2,chr7,108362160,108362929,+
A930011G23Rik,chr5,99765101,99766028,+
Traf2,chr2,25389816,25389994,+
Hivep1,chr13,42147431,42148551,+
Cytip,chr2,58009270,58009650,+
Slc25a19,chr11,115492359,115492639,+
Tomm20,chr8,129356541,129356712,+
Irf2,chr8,47824629,47825727,+
Gm16675,chr8,47824629,47825727,+
Dos,chr10,79604083,79604227,+
Atp5d,chr10,79604083,79604227,+
Adora2a,chr10,74789350,74789606,+
Rps25-ps1,chr6,145224438,145224924,+
Gm16174,chr7,20402788,20403028,+
Bcl3,chr7,20402788,20403028,+
Gpbp1,chr13,112280461,112280658,+
Snx29,chr16,11385596,11386151,+
Vars,chr17,35137767,35138164,+
D17H6S56E-5,chr17,35137767,35138164,+
Icosl,chr10,77549989,77550457,+
Map2k1,chr9,64090394,64090660,+
Gramd3,chr18,56630414,56630839,+
Bcat2,chr7,52847308,52847522,+
Swap70,chr7,117429709,117430035,+
Pebp4,chr14,70465921,70466146,+
Mllt6,chr11,97520622,97522405,+
Gm11613,chr11,97520622,97522405,+
AL596123.1,chr11,97520622,97522405,+
Irg1,chr14,103436298,103436628,+
Tank,chr2,61416423,61416676,+
Il4ra,chr7,132732342,132732528,+
Zcchc6,chr13,59924137,59924539,+
Map4k1,chr7,29767336,29768438,+
Eif3k,chr7,29767336,29768438,+
Gm17699,chr1,130601750,130602016,+
4930523C07Rik,chr1,161982818,161983416,+
Ube2i,chr17,25410092,25411158,+
Dennd4a,chr9,64637184,64637521,+
Inpp5d,chr1,89547263,89547493,+
RP23-85E24.1,chr17,71201462,71201805,+
Tgif1,chr17,71201462,71201805,+
BC031781,chr1,182780258,182781237,+
Irf1,chr11,53582353,53585094,+
Fgfr1op,chr17,8388177,8389282,+
Ciita,chr16,10516048,10516557,+
Gm14488,chr2,30567405,30568005,+
Skp1a,chr11,52044991,52045315,+
Gm12207,chr11,52044991,52045315,+
Gm16953,chr11,52044991,52045315,+
U6,chr13,43993834,43994403,+
6030468B19Rik,chr11,117660138,117661022,+
Pde4b,chr4,102246812,102247061,+
A230052G05Rik,chr8,73389398,73389770,+
Hivep2,chr10,13684266,13685082,+
Trim25,chr11,88885396,88885754,+
Susd1,chr4,59344618,59344897,+
SNORD88,chr7,51501625,51502058,+
2410002F23Rik,chr7,51501625,51502058,+
Srd5a1,chr13,69750442,69751076,+
Nsun2,chr13,69750442,69751076,+
Gm17108,chr13,69750442,69751076,+
St3gal6,chr16,58498572,58498796,+
5830416P10Rik,chr19,53508506,53508786,+
Rps27a,chr11,29447817,29448390,+
1700034F02Rik,chr11,29447817,29448390,+
Timm8a2,chr14,122452172,122452460,+
D930015E06Rik,chr3,83842695,83844614,+
B2m,chr2,121973205,121973525,+
Patl2,chr2,121973205,121973525,+
Dus2l,chr8,108578149,108578830,+
Gm20513,chr17,34438170,34438517,+
Gm14321,chr2,167602603,167603128,+
Mcl1,chr3,95454449,95454858,+
Chst15,chr7,139507552,139508581,+
Fgfr2,chr7,139507552,139508581,+
Supv3l1,chr10,61912128,61912975,+
Actr10,chr12,72038630,72038991,+
Iqgap1,chr7,87924216,87924403,+
Gm14321,chr2,167579387,167579747,+
Gdi2,chr13,3525565,3525909,+
Suclg1,chr6,73198407,73198567,+
Cd74,chr18,60965134,60965533,+
Med11,chr11,70265260,70266312,+
U6,chr11,98805097,98805627,+
Rara,chr11,98805097,98805627,+
Gm15429,chr1,163664496,163664673,+
Dennd4a,chr9,64658641,64659007,+
Kdm6b,chr11,69222439,69225413,+
Parp1,chr1,182471456,182471743,+
Zfp36,chr7,29165278,29168541,+
Syk,chr13,52667650,52668301,+
Spib,chr7,51786578,51788235,+
Pold1,chr7,51786578,51788235,+
Neil1,chr9,56995957,56996329,+
Gm16493,chr9,56995957,56996329,+
Stam2,chr2,52601198,52601446,+
Gm13548,chr2,52601198,52601446,+
Smap2,chr4,120687655,120689157,+
Pebp4,chr14,70456760,70457496,+
Ube2d3,chr3,135100854,135101809,+
4930539J05Rik,chr3,135100854,135101809,+
H2-DMb2,chr17,34279958,34280255,+
Gabpb1,chr2,126501180,126501457,+
B4galt5,chr2,167200677,167200965,+
Lpp,chr16,24628732,24629828,+
AI427809,chr4,53290652,53291303,+
Ccr7,chr11,99029188,99029921,+
Gm16912,chr17,29631271,29631486,+
Pim1,chr17,29631271,29631486,+
Gucy2c,chr6,136638552,136638908,+
Mef2d,chr3,87942237,87942884,+
Gm14963,chr19,6275871,6276709,+
Ehd1,chr19,6275871,6276709,+
Gm20513,chr17,34430445,34430747,+
Rere,chr4,149940174,149940510,+
Sep15,chr3,144233515,144234026,+
Hs2st1,chr3,144233515,144234026,+
Tle3,chr9,61016687,61016950,+
Bag6,chr17,35271802,35272766,+
Apom,chr17,35271802,35272766,+
Neat1,chr19,5845285,5846291,+
Gm9783,chr19,5845285,5846291,+
Rbbp5,chr1,134373689,134373912,+
6030442K20Rik,chr1,134373689,134373912,+
Gm12865,chr4,118672278,118672517,+
Gm12862,chr4,118672278,118672517,+
4930552P12Rik,chr19,55742271,55742546,+
Gm15754,chr5,118927615,118928466,+
Stk17b,chr1,53848316,53848636,+
Dym,chr18,75446522,75446730,+
Hspa9,chr18,35113977,35114339,+
Rfx5,chr3,94757650,94758541,+
