GeneID,Chromosome,Peak_Start,Peak_End,Strand,,
Igf2bp3,chr6,49163874,49165042,+,,
Iqsec1,chr6,90714918,90715410,+,,
Esr1,chr10,5743395,5746168,+,,
Gm4832,chr17,88510535,88513881,+,,
Irak2,chr6,113618799,113618856,+,,
Tnfaip3,chr10,18732888,18736106,+,,
Tnfaip3,chr10,18729022,18729474,+,,
AC131596.1,chr10,95833137,95835253,+,,
Skil,chr3,30992739,30992818,+,,
Gm12148,chr11,43197985,43199277,+,,
Fnbp1,chr2,30891276,30892989,+,,
Zfp36,chr7,29159671,29169469,+,,
Plekhg2,chr7,29159671,29169469,+,,
Fhit,chr14,11285636,11285716,+,,
Nfkb2,chr19,46379258,46380044,+,,
Timm8a2,chr14,122451580,122455359,+,,
7SK,chr16,84621397,84622321,+,,
Fgd2,chr17,29530124,29533168,+,,
Swap70,chr7,117429840,117430025,+,,
Dennd4a,chr9,64658633,64658889,+,,
Kdm2b,chr5,123399133,123399464,+,,
Il10rb,chr16,91405917,91406260,+,,
RP23-190G10.4,chr16,91405917,91406260,+,,
Nfkbiz,chr16,55838592,55839044,+,,
Wee1,chr7,117309563,117310238,+,,
Gadd45b,chr10,80391193,80395114,+,,
Ier5,chr1,156944931,156945442,+,,
Tomm20,chr8,129356505,129356759,+,,
A630091E08Rik,chr7,105683029,105683233,+,,
Gm10837,chr14,122884558,122891656,+,,
Ptpn11,chr5,121556884,121557417,+,,
Nfatc1,chr18,80807975,80808788,+,,
Il21r,chr7,132748656,132752933,+,,
Apobec3,chr15,79730437,79732620,+,,
Nedd4,chr9,72508061,72508191,+,,
Gm4895,chr10,21872187,21872621,+,,
Lhx9,chr1,140732615,140744099,+,,
Scd1,chr19,44451053,44451289,+,,
Il2rg,chrX,98463042,98464420,+,,
Gm20489,chrX,98463042,98464420,+,,
B2m,chr2,121971797,121975683,+,,
Patl2,chr2,121971797,121975683,+,,
Rcsd1,chr1,167630935,167631475,+,,
Nfkb1,chr3,135352115,135354924,+,,
Shox2,chr3,66774927,66789887,+,,
Rsrc1,chr3,66774927,66789887,+,,
1700086P04Rik,chr4,128710019,128710583,+,,
Ptp4a2,chr4,129486633,129489746,+,,
A230052G05Rik,chr8,73389388,73390030,+,,
Gm4968,chr6,127189037,127191187,+,,
Gm11755,chr11,118995166,118995291,+,,
9130401M01Rik,chr15,57865184,57866194,+,,
Otx1,chr11,21892788,21902143,+,,
Rasgrf1,chr9,89777010,89777654,+,,
Chd2,chr7,80681219,80685452,+,,
Dusp2,chr2,127158670,127167427,+,,
Astl,chr2,127158670,127167427,+,,
Gm17699,chr1,130601783,130601979,+,,
Pik3r5,chr11,68311647,68313072,+,,
Pnrc2,chr4,135432552,135432809,+,,
H2-D1,chr17,35399544,35399951,+,,
Birc3,chr9,7872816,7873130,+,,
Junb,chr8,87499728,87502928,+,,
Icosl,chr10,77555479,77555690,+,,
Satb2,chr1,57029255,57036832,+,,
9130024F11Rik,chr1,57029255,57036832,+,,
Mex3a,chr3,88325825,88325970,+,,
Hivep1,chr13,42148070,42148465,+,,
Dennd4a,chr9,64645265,64645497,+,,
Fam167a,chr14,64056096,64057544,+,,
Irgc1,chr7,25230559,25230818,+,,
Acoxl,chr2,127834423,127835032,+,,
Agpat4,chr17,12364163,12364307,+,,
Atp2a3,chr11,72767103,72768134,+,,
4930415F15Rik,chr11,11406108,11406728,+,,
Gm10231,chr17,5802650,5803526,+,,
Jarid2,chr13,44633736,44633836,+,,
Dusp10,chr1,185803804,185803848,+,,
Ildr1,chr16,36709714,36709768,+,,
Gm17591,chr12,81170230,81170402,+,,
Tmem66,chr8,35218719,35219082,+,,
Rad51l1,chr12,80746972,80748159,+,,
Lmna,chr3,88313236,88315157,+,,
Cyba,chr8,124955124,124957884,+,,
Mvd,chr8,124955124,124957884,+,,
Gm20388,chr8,124955124,124957884,+,,
Amz2,chr11,109286567,109287489,+,,
Osr2,chr15,35222612,35233878,+,,
Rel,chr11,23669181,23672214,+,,
Gm16912,chr17,29629302,29631447,+,,
Pim1,chr17,29629302,29631447,+,,
Il2ra,chr2,11574997,11575622,+,,
Pvt1,chr15,62000616,62001552,+,,
Il4i1,chr7,52090027,52093132,+,,
N4bp2l1,chr5,151398034,151398154,+,,
5830416P10Rik,chr19,53539293,53539418,+,,
Hivep1,chr13,42143946,42147255,+,,
Gm11772,chr11,120092160,120098100,+,,
Bahcc1,chr11,120092160,120098100,+,,
2900052L18Rik,chr11,120092160,120098100,+,,
H2-Ab1,chr17,34393426,34395247,+,,
Ksr1,chr11,78916477,78918352,+,,
Gm12233,chr11,54950240,54950455,+,,
Slc36a3,chr11,54950240,54950455,+,,
Cbfa2t3,chr8,125224637,125224821,+,,
Gm20388,chr8,125224637,125224821,+,,
Gm14963,chr19,6276040,6276316,+,,
Ehd1,chr19,6276040,6276316,+,,
Nfkbid,chr7,31206835,31207355,+,,
Hcst,chr7,31206835,31207355,+,,
Gm17591,chr12,81102740,81102971,+,,
Fnbp1,chr2,30916128,30919216,+,,
Ppp1r16b,chr2,158526170,158527156,+,,
Mir148a,chr6,51119079,51135680,+,,
Fbxo48,chr11,16856538,16857239,+,,
Sirt2,chr7,29550932,29551958,+,,
Nfkbib,chr7,29550932,29551958,+,,
Kdm6b,chr11,69221919,69225509,+,,
Tomm20,chr8,129370623,129374608,+,,
